Contig	Chromosome
NC_039898.1	NC_039898.1
NC_039899.1	NC_039899.1
NC_039900.1	NC_039900.1
NC_039901.1	NC_039901.1
NC_039902.1	NC_039902.1
NC_039903.1	NC_039903.1
NC_039904.1	NC_039904.1
NC_039905.1	NC_039905.1
NC_039906.1	NC_039906.1
NC_039907.1	NC_039907.1
NC_039908.1	NC_039908.1
NC_039909.1	NC_039909.1
NC_039910.1	NC_039910.1
NC_039911.1	NC_039911.1
NC_039912.1	NC_039912.1
NC_039913.1	NC_039913.1
NC_039914.1	NC_039914.1
NC_039915.1	NC_039915.1
NC_039916.1	NC_039916.1
NC_039917.1	NC_039917.1
NC_039918.1	NC_039918.1
NC_039919.1	NC_039919.1
NW_020848442.1	NW_020848442.1
NW_020848443.1	NW_020848443.1
NW_020848444.1	NW_020848444.1
NW_020848445.1	NW_020848445.1
NW_020848446.1	NW_020848446.1
NW_020848447.1	NW_020848447.1
NW_020848448.1	NW_020848448.1
NW_020848449.1	NW_020848449.1
NW_020848450.1	NW_020848450.1
NW_020848451.1	NW_020848451.1
NW_020848452.1	NW_020848452.1
NW_020848453.1	NW_020848453.1
NW_020848454.1	NW_020848454.1
NW_020848455.1	NW_020848455.1
NW_020848456.1	NW_020848456.1
NW_020848457.1	NW_020848457.1
NW_020848458.1	NW_020848458.1
NW_020848459.1	NW_020848459.1
NW_020848460.1	NW_020848460.1
NW_020848461.1	NW_020848461.1
NW_020848462.1	NW_020848462.1
NW_020848463.1	NW_020848463.1
NW_020848464.1	NW_020848464.1
NW_020848465.1	NW_020848465.1
NW_020848466.1	NW_020848466.1
NW_020848467.1	NW_020848467.1
NW_020848468.1	NW_020848468.1
NW_020848469.1	NW_020848469.1
NW_020848470.1	NW_020848470.1
NW_020848471.1	NW_020848471.1
NW_020848472.1	NW_020848472.1
NW_020848473.1	NW_020848473.1
NW_020848474.1	NW_020848474.1
NW_020848475.1	NW_020848475.1
NW_020848476.1	NW_020848476.1
NW_020848477.1	NW_020848477.1
NW_020848478.1	NW_020848478.1
NW_020848479.1	NW_020848479.1
NW_020848480.1	NW_020848480.1
NW_020848481.1	NW_020848481.1
NW_020848482.1	NW_020848482.1
NW_020848483.1	NW_020848483.1
NW_020848484.1	NW_020848484.1
NW_020848485.1	NW_020848485.1
NW_020848486.1	NW_020848486.1
NW_020848487.1	NW_020848487.1
NW_020848488.1	NW_020848488.1
NW_020848489.1	NW_020848489.1
NW_020848490.1	NW_020848490.1
NW_020848491.1	NW_020848491.1
NW_020848492.1	NW_020848492.1
NW_020848493.1	NW_020848493.1
NW_020848494.1	NW_020848494.1
NW_020848495.1	NW_020848495.1
NW_020848496.1	NW_020848496.1
NW_020848497.1	NW_020848497.1
NW_020848498.1	NW_020848498.1
NW_020848499.1	NW_020848499.1
NW_020848500.1	NW_020848500.1
NW_020848501.1	NW_020848501.1
NW_020848502.1	NW_020848502.1
NW_020848503.1	NW_020848503.1
NW_020848504.1	NW_020848504.1
NW_020848505.1	NW_020848505.1
NW_020848506.1	NW_020848506.1
NW_020848507.1	NW_020848507.1
NW_020848508.1	NW_020848508.1
NW_020848509.1	NW_020848509.1
NW_020848510.1	NW_020848510.1
NW_020848511.1	NW_020848511.1
NW_020848512.1	NW_020848512.1
NW_020848513.1	NW_020848513.1
NW_020848514.1	NW_020848514.1
NW_020848515.1	NW_020848515.1
NW_020848516.1	NW_020848516.1
NW_020848517.1	NW_020848517.1
NW_020848518.1	NW_020848518.1
